S2011500,S1021300,S1040300,S3310100,S3302700,S3322000,S1070124,S1070140,S1070218,SZ340100,SZ110300,SZ344100,SZ344000,SZ344200,SZ110700,SZ210800,SZ311200,SZ370100,SZ370200,SZ340200,SZ310700,SZ320500,SZ320600,SZ210900,SZ343500,SZ132900,SZ344310,SZ420300,SZ330100,SZ340400,SZ340500,SZ340600,SZ340800,SZ321200,SZ310800,SZ120800,SZ340900,SZ341000,SZ141200,SZ341300,SZ341200,SZ341500,SZ341100,SZ341700,SZ341800,SZ350600,SZ350800,SZ160430,SZ342000,SZ142600,SZ141500,SZ330700,SZ344330,SZ131900,SZ332000,SZ132100,SZ343000,SZ351200,SZ351300,SZ330960,SZ331000,SZ330900,SZ361600,SZ361200,SZ361900,SZ361500,SZ360100,SZ170112,SZ170113,SZ170114,SZ170115,SZ170122,SZ170211,SZ170215,SZ170221,SZ170222,SZ410600,SZ410400,SZ411300,SZ410900,SZ170111,S3311100
2.149067859,0.930077984,-0.204124145,1.688219715,2.224726736,0.856572105,-0.574748519,-0.550606819,-0.234684486,1.432952189,-0.921111119,-0.813277412,-0.334907429,1.049156087,0.644931517,0.699578306,-0.623226348,1.866806423,3.112200367,3.010868605,-0.342445468,-0.634162894,4.914852836,-0.453050044,2.056272182,-0.295598783,-0.4101671,2.19057409,2.003827785,-0.032050531,-1.054410805,-0.417300735,-0.463027322,-0.489730379,1.576837518,-0.507768369,-0.762630826,-0.646094653,1.904244366,0.439660747,-0.467508997,-0.477096933,0.979804768,2.614173284,-0.362022288,2.806607243,2.928954249,-0.384023455,-0.248044471,-0.382450855,-0.198585562,1.061894563,-0.638905675,-0.321350786,-0.381955431,-0.514457294,1.715339697,-0.413619437,-0.247638175,0.581020278,-0.237054453,1.37353691,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,-0.899751566,-0.229415734,3.93192198,-0.376330988,-0.465376537,-0.467232801,-0.677213746,-0.707976965,-0.758333339,-0.857320118,-0.315269307,-1.277154823,1.452451412,-0.451871527,-0.522600383
-0.929619169,-0.694069109,-0.204124145,-1.061043943,-0.790254971,0.856572105,-0.574748519,-0.550606819,-0.234684486,0.040257579,0.689574991,0.519622828,-0.334907429,1.049156087,0.644931517,-0.693050359,-0.623226348,-0.959346412,-0.952714398,-1.053010285,-0.342445468,-0.634162894,-0.469750556,-0.453050044,-0.712826601,-0.295598783,-0.4101671,-0.317417712,0.668638006,-1.551483132,0.445195673,-0.417300735,1.668897038,-0.489730379,-0.457791538,-0.507768369,-0.762630826,-0.646094653,-0.483055133,-1.069094631,-0.467508997,-0.477096933,-0.687948029,-0.710359059,-0.362022288,-0.715409689,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,-0.638905675,-0.321350786,-0.381955431,-0.514457294,-1.048203175,-0.413619437,-0.247638175,-0.863068956,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,-0.899751566,-0.229415734,-0.492570446,-0.376330988,-0.465376537,-0.467232801,-0.677213746,-0.707976965,-0.758333339,-0.857320118,-0.315269307,-1.277154823,1.452451412,-0.451871527,-0.522600383
-0.929619169,-0.694069109,-0.204124145,-1.061043943,0.717235883,-0.727838725,-0.574748519,-0.550606819,-0.234684486,-1.352437031,-0.921111119,-0.813277412,-0.334907429,-0.586556204,-0.823951654,-0.693050359,-0.623226348,-0.959346412,-0.952714398,0.301616011,-0.342445468,-0.634162894,-0.469750556,-0.453050044,-0.712826601,-0.295598783,-0.4101671,-0.317417712,-0.666551772,-0.032050531,0.445195673,-0.417300735,-0.463027322,-0.489730379,-0.457791538,-0.507768369,1.01869665,-0.646094653,-0.483055133,0.439660747,3.126554164,1.23830777,0.979804768,-0.710359059,-0.362022288,-0.715409689,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,-0.638905675,-0.321350786,-0.381955431,-0.514457294,0.333568261,-0.413619437,-0.247638175,-0.863068956,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,0.771775291,-0.229415734,-0.492570446,-0.376330988,-0.465376537,-0.467232801,-0.677213746,-0.707976965,-0.758333339,-0.857320118,-0.315269307,0.343021761,-0.546621499,-0.451871527,-0.522600383
-0.929619169,2.554225078,-0.204124145,0.313587886,0.717235883,-0.727838725,1.576357049,-0.550606819,5.487146783,1.432952189,0.689574991,-0.813277412,-0.334907429,-0.586556204,0.644931517,-0.693050359,0.998175533,-0.959346412,-0.952714398,-1.053010285,-0.342445468,-0.634162894,-0.469750556,-0.453050044,2.056272182,-0.295598783,-0.4101671,-0.317417712,2.003827785,-1.551483132,1.944802151,-0.417300735,1.668897038,1.125874995,-0.457791538,-0.507768369,1.01869665,1.113482274,-0.483055133,1.948416125,-0.467508997,-0.477096933,-0.687948029,-0.710359059,-0.362022288,1.045598777,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,-0.638905675,-0.321350786,-0.381955431,1.47498481,-1.048203175,-0.413619437,-0.247638175,-0.863068956,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,2.443302149,7.11188775,-0.492570446,-0.376330988,-0.465376537,-0.467232801,-0.677213746,-0.707976965,1.00012078,0.892870872,-0.315269307,1.963198345,-0.546621499,-0.451871527,-0.522600383
-0.929619169,0.930077984,-0.204124145,0.313587886,-0.790254971,-0.727838725,1.576357049,-0.550606819,-0.234684486,0.040257579,-0.921111119,1.852523068,-0.334907429,-0.586556204,0.644931517,-0.693050359,-0.623226348,0.453730006,0.40225719,0.301616011,-0.342445468,-0.634162894,-0.469750556,-0.453050044,0.671722791,2.857454907,4.85753077,-0.317417712,-0.666551772,1.487382069,0.445195673,1.273031356,1.668897038,-0.489730379,-0.457791538,-0.507768369,1.01869665,1.113482274,1.904244366,1.948416125,-0.467508997,-0.477096933,0.979804768,0.951907112,1.966563285,1.045598777,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,1.061894563,0.749548084,2.156534795,-0.381955431,1.47498481,1.715339697,-0.413619437,-0.247638175,0.581020278,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,0.771775291,3.441236008,-0.492570446,-0.376330988,-0.465376537,1.553233365,-0.677213746,-0.707976965,1.00012078,0.892870872,-0.315269307,0.343021761,-0.546621499,-0.451871527,-0.522600383
0.609724345,-0.694069109,-0.204124145,1.688219715,-0.790254971,0.856572105,-0.574748519,-0.550606819,-0.234684486,1.432952189,0.689574991,-0.813277412,-0.334907429,-0.586556204,-0.823951654,-0.693050359,-0.623226348,0.453730006,0.40225719,1.656242308,-0.342445468,-0.634162894,1.325117241,-0.453050044,2.056272182,-0.295598783,-0.4101671,-0.317417712,-0.666551772,-0.032050531,-1.054410805,-0.417300735,-0.463027322,-0.489730379,-0.457791538,1.542526622,1.01869665,-0.646094653,-0.483055133,1.948416125,-0.467508997,-0.477096933,-0.687948029,0.951907112,-0.362022288,-0.715409689,1.207622092,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,2.138001843,-0.321350786,1.707373421,1.47498481,0.333568261,-0.413619437,-0.247638175,-0.863068956,-0.237054453,-0.425979205,3.920081966,2.144284919,1.937849392,-0.557833233,-0.521806374,-0.899751566,-0.229415734,1.719675767,-0.376330988,-0.465376537,-0.467232801,-0.677213746,-0.707976965,-0.758333339,0.892870872,2.255079185,-1.277154823,-0.546621499,-0.451871527,-0.522600383
-0.929619169,-0.694069109,-0.204124145,0.313587886,0.717235883,-0.727838725,1.576357049,-0.550606819,-0.234684486,-1.352437031,-0.921111119,0.519622828,-0.334907429,1.049156087,0.644931517,0.699578306,-0.623226348,-0.959346412,-0.952714398,0.301616011,-0.342445468,-0.634162894,-0.469750556,-0.453050044,-0.712826601,-0.295598783,-0.4101671,-0.317417712,-0.666551772,-0.032050531,0.445195673,-0.417300735,-0.463027322,-0.489730379,1.576837518,-0.507768369,-0.762630826,-0.646094653,-0.483055133,0.439660747,-0.467508997,1.23830777,0.979804768,-0.710359059,-0.362022288,-0.715409689,1.207622092,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,0.749548084,-0.321350786,-0.381955431,-0.514457294,-1.048203175,-0.413619437,-0.247638175,0.581020278,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,-0.899751566,-0.229415734,-0.492570446,-0.376330988,1.413746389,-0.467232801,-0.677213746,-0.707976965,1.00012078,0.892870872,-0.315269307,-1.277154823,-0.546621499,-0.451871527,-0.522600383
0.609724345,-0.694069109,-0.204124145,0.313587886,0.717235883,0.856572105,-0.574748519,-0.550606819,-0.234684486,0.040257579,0.689574991,-0.813277412,-0.334907429,1.049156087,-0.823951654,-0.693050359,0.998175533,0.453730006,-0.952714398,0.301616011,-0.342445468,0.831051012,-0.469750556,-0.453050044,-0.712826601,-0.295598783,1.34573219,-0.317417712,-0.666551772,1.487382069,0.445195673,1.273031356,-0.463027322,-0.489730379,-0.457791538,1.542526622,1.01869665,1.113482274,-0.483055133,1.948416125,-0.467508997,-0.477096933,-0.687948029,-0.710359059,-0.362022288,1.045598777,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,0.749548084,-0.321350786,-0.381955431,-0.514457294,0.333568261,1.908454594,3.438139317,-0.863068956,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,-0.899751566,-0.229415734,-0.492570446,-0.376330988,-0.465376537,-0.467232801,-0.677213746,-0.707976965,-0.758333339,-0.857320118,-0.315269307,0.343021761,-0.546621499,-0.451871527,-0.522600383
0.609724345,2.554225078,-0.204124145,0.313587886,0.717235883,0.856572105,1.576357049,1.701076018,-0.234684486,0.040257579,0.689574991,1.852523068,-0.334907429,-0.586556204,2.113814689,-0.693050359,0.998175533,0.453730006,0.40225719,-1.053010285,-0.342445468,-0.634162894,-0.469750556,1.803385972,-0.712826601,-0.295598783,-0.4101671,-0.317417712,2.003827785,-1.551483132,0.445195673,-0.417300735,1.668897038,-0.489730379,-0.457791538,-0.507768369,1.01869665,1.113482274,1.904244366,0.439660747,-0.467508997,-0.477096933,-0.687948029,0.951907112,-0.362022288,1.045598777,-0.513710066,1.771897695,-0.248044471,1.948678167,-0.198585562,-0.665202058,-0.638905675,-0.321350786,1.707373421,1.47498481,0.333568261,1.908454594,-0.247638175,0.581020278,3.025630497,1.37353691,1.731811178,-0.348616713,-0.373844198,1.420079615,1.442641151,2.443302149,-0.229415734,-0.492570446,2.457219978,-0.465376537,-0.467232801,-0.677213746,-0.707976965,1.00012078,-0.857320118,4.825427677,0.343021761,-0.546621499,-0.451871527,1.498331612
-0.929619169,-0.694069109,-0.204124145,-1.061043943,0.717235883,0.856572105,-0.574748519,-0.550606819,-0.234684486,-1.352437031,-0.921111119,-0.813277412,-0.334907429,-0.586556204,-0.823951654,-0.693050359,-0.623226348,1.866806423,1.757228779,0.301616011,-0.342445468,0.831051012,-0.469750556,-0.453050044,-0.712826601,-0.295598783,-0.4101671,-0.317417712,-0.666551772,1.487382069,0.445195673,2.963363447,-0.463027322,-0.489730379,-0.457791538,-0.507768369,-0.762630826,-0.646094653,-0.483055133,-1.069094631,-0.467508997,1.23830777,-0.687948029,0.951907112,-0.362022288,-0.715409689,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,1.061894563,-0.638905675,-0.321350786,-0.381955431,-0.514457294,0.333568261,-0.413619437,-0.247638175,0.581020278,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,-0.899751566,-0.229415734,-0.492570446,-0.376330988,-0.465376537,-0.467232801,-0.677213746,-0.707976965,-0.758333339,0.892870872,-0.315269307,0.343021761,-0.546621499,-0.451871527,-0.522600383
0.609724345,-0.694069109,-0.204124145,0.313587886,0.717235883,-0.727838725,1.576357049,-0.550606819,-0.234684486,1.432952189,0.689574991,1.852523068,1.969831866,1.049156087,0.644931517,0.699578306,-0.623226348,0.453730006,0.40225719,-1.053010285,-0.342445468,-0.634162894,3.119985039,-0.453050044,-0.712826601,-0.295598783,-0.4101671,-0.317417712,2.003827785,-0.032050531,1.944802151,1.273031356,-0.463027322,-0.489730379,-0.457791538,-0.507768369,1.01869665,1.113482274,-0.483055133,0.439660747,-0.467508997,-0.477096933,-0.687948029,2.614173284,-0.362022288,-0.715409689,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,2.788991185,-0.638905675,-0.321350786,1.707373421,1.47498481,1.715339697,-0.413619437,-0.247638175,0.581020278,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,0.771775291,-0.229415734,-0.492570446,-0.376330988,-0.465376537,-0.467232801,-0.677213746,1.065429131,-0.758333339,0.892870872,-0.315269307,-1.277154823,1.452451412,-0.451871527,1.498331612
-0.929619169,2.554225078,-0.204124145,-1.061043943,-0.790254971,-0.727838725,-0.574748519,-0.550606819,-0.234684486,-1.352437031,-0.921111119,0.519622828,-0.334907429,-0.586556204,-0.823951654,-0.693050359,-0.623226348,0.453730006,-0.952714398,-1.053010285,-0.342445468,-0.634162894,-0.469750556,-0.453050044,-0.712826601,-0.295598783,-0.4101671,-0.317417712,-0.666551772,-0.032050531,0.445195673,-0.417300735,1.668897038,1.125874995,-0.457791538,-0.507768369,-0.762630826,1.113482274,-0.483055133,-1.069094631,-0.467508997,-0.477096933,-0.687948029,-0.710359059,-0.362022288,-0.715409689,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,-0.638905675,-0.321350786,-0.381955431,1.47498481,0.333568261,-0.413619437,-0.247638175,-0.863068956,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,0.771775291,-0.229415734,-0.492570446,-0.376330988,-0.465376537,-0.467232801,-0.677213746,-0.707976965,1.00012078,0.892870872,-0.315269307,0.343021761,-0.546621499,-0.451871527,-0.522600383
0.609724345,-0.694069109,-0.204124145,1.688219715,2.224726736,-0.727838725,1.576357049,-0.550606819,-0.234684486,1.432952189,0.689574991,-0.813277412,-0.334907429,-0.586556204,0.644931517,0.699578306,0.998175533,0.453730006,1.757228779,-1.053010285,-0.342445468,-0.634162894,-0.469750556,-0.453050044,0.671722791,-0.295598783,-0.4101671,-0.317417712,-0.666551772,1.487382069,1.944802151,1.273031356,-0.463027322,-0.489730379,-0.457791538,-0.507768369,1.01869665,1.113482274,-0.483055133,1.948416125,1.329522583,1.23830777,0.979804768,-0.710359059,-0.362022288,1.045598777,2.928954249,-0.384023455,-0.248044471,-0.382450855,-0.198585562,1.061894563,0.749548084,-0.321350786,1.707373421,-0.514457294,1.715339697,-0.413619437,-0.247638175,2.025109512,-0.237054453,-0.425979205,1.731811178,-0.348616713,-0.373844198,-0.557833233,-0.521806374,0.771775291,-0.229415734,-0.492570446,2.457219978,-0.465376537,1.553233365,0.854294373,-0.707976965,-0.758333339,-0.857320118,-0.315269307,0.343021761,-0.546621499,-0.451871527,-0.522600383
0.609724345,-0.694069109,-0.204124145,0.313587886,-0.790254971,0.856572105,1.576357049,-0.550606819,-0.234684486,0.040257579,-0.921111119,0.519622828,-0.334907429,1.049156087,0.644931517,0.699578306,0.998175533,-0.959346412,0.40225719,0.301616011,-0.342445468,0.831051012,1.325117241,-0.453050044,0.671722791,-0.295598783,-0.4101671,-0.317417712,-0.666551772,-0.032050531,0.445195673,2.963363447,-0.463027322,2.741480369,1.576837518,-0.507768369,-0.762630826,-0.646094653,-0.483055133,-1.069094631,-0.467508997,1.23830777,-0.687948029,0.951907112,-0.362022288,1.045598777,-0.513710066,-0.384023455,-0.248044471,1.948678167,3.712022423,-0.665202058,0.749548084,-0.321350786,-0.381955431,-0.514457294,0.333568261,-0.413619437,-0.247638175,-0.863068956,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,-0.899751566,-0.229415734,-0.492570446,-0.376330988,-0.465376537,-0.467232801,0.854294373,2.838835227,1.00012078,-0.857320118,-0.315269307,0.343021761,1.452451412,-0.451871527,-0.522600383
0.609724345,0.930077984,-0.204124145,0.313587886,-0.790254971,-0.727838725,1.576357049,-0.550606819,-0.234684486,-1.352437031,-0.921111119,-0.813277412,-0.334907429,-0.586556204,-0.823951654,-0.693050359,-0.623226348,-0.959346412,0.40225719,-1.053010285,-0.342445468,-0.634162894,1.325117241,-0.453050044,-0.712826601,-0.295598783,-0.4101671,-0.317417712,-0.666551772,-0.032050531,-1.054410805,-0.417300735,-0.463027322,-0.489730379,-0.457791538,-0.507768369,1.01869665,-0.646094653,-0.483055133,0.439660747,-0.467508997,-0.477096933,0.979804768,-0.710359059,-0.362022288,-0.715409689,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,-0.638905675,-0.321350786,-0.381955431,1.47498481,0.333568261,-0.413619437,-0.247638175,-0.863068956,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,0.771775291,-0.229415734,-0.492570446,-0.376330988,-0.465376537,-0.467232801,-0.677213746,-0.707976965,-0.758333339,-0.857320118,-0.315269307,0.343021761,-0.546621499,-0.451871527,-0.522600383
0.609724345,-0.694069109,-0.204124145,-1.061043943,2.224726736,0.856572105,-0.574748519,-0.550606819,-0.234684486,0.040257579,0.689574991,0.519622828,-0.334907429,-0.586556204,0.644931517,0.699578306,-0.623226348,1.866806423,0.40225719,0.301616011,-0.342445468,-0.634162894,-0.469750556,-0.453050044,-0.712826601,-0.295598783,1.34573219,2.19057409,-0.666551772,-0.032050531,-1.054410805,-0.417300735,-0.463027322,2.741480369,-0.457791538,-0.507768369,-0.762630826,-0.646094653,-0.483055133,0.439660747,-0.467508997,-0.477096933,-0.687948029,0.951907112,-0.362022288,-0.715409689,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,0.749548084,-0.321350786,-0.381955431,-0.514457294,0.333568261,-0.413619437,-0.247638175,2.025109512,-0.237054453,1.37353691,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,-0.899751566,-0.229415734,1.719675767,-0.376330988,-0.465376537,-0.467232801,0.854294373,1.065429131,-0.758333339,0.892870872,-0.315269307,-1.277154823,-0.546621499,-0.451871527,-0.522600383
-0.929619169,-0.694069109,-0.204124145,-1.061043943,-0.790254971,-0.727838725,-0.574748519,-0.550606819,-0.234684486,0.040257579,0.689574991,-0.813277412,-0.334907429,-0.586556204,-0.823951654,-0.693050359,-0.623226348,-0.959346412,-0.952714398,0.301616011,-0.342445468,-0.634162894,-0.469750556,-0.453050044,0.671722791,-0.295598783,-0.4101671,-0.317417712,-0.666551772,-0.032050531,-1.054410805,-0.417300735,-0.463027322,-0.489730379,-0.457791538,-0.507768369,-0.762630826,-0.646094653,-0.483055133,-1.069094631,-0.467508997,-0.477096933,-0.687948029,-0.710359059,-0.362022288,-0.715409689,1.207622092,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,-0.638905675,-0.321350786,-0.381955431,-0.514457294,0.333568261,-0.413619437,-0.247638175,0.581020278,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,-0.899751566,-0.229415734,-0.492570446,-0.376330988,-0.465376537,-0.467232801,0.854294373,1.065429131,-0.758333339,0.892870872,-0.315269307,-1.277154823,1.452451412,1.722547853,1.498331612
-0.929619169,0.930077984,-0.204124145,-1.061043943,0.717235883,-0.727838725,1.576357049,-0.550606819,-0.234684486,0.040257579,0.689574991,0.519622828,-0.334907429,-0.586556204,-0.823951654,-0.693050359,0.998175533,0.453730006,-0.952714398,-1.053010285,-0.342445468,-0.634162894,-0.469750556,-0.453050044,-0.712826601,-0.295598783,-0.4101671,-0.317417712,0.668638006,-0.032050531,0.445195673,1.273031356,1.668897038,-0.489730379,-0.457791538,-0.507768369,1.01869665,1.113482274,1.904244366,0.439660747,-0.467508997,-0.477096933,-0.687948029,-0.710359059,-0.362022288,-0.715409689,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,0.749548084,4.634420377,-0.381955431,-0.514457294,0.333568261,-0.413619437,-0.247638175,-0.863068956,-0.237054453,1.37353691,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,0.771775291,3.441236008,-0.492570446,-0.376330988,-0.465376537,-0.467232801,-0.677213746,-0.707976965,1.00012078,0.892870872,-0.315269307,1.963198345,-0.546621499,-0.451871527,-0.522600383
-0.929619169,-0.694069109,-0.204124145,0.313587886,-0.790254971,0.856572105,-0.574748519,1.701076018,-0.234684486,0.040257579,-0.921111119,-0.813277412,-0.334907429,-0.586556204,-0.823951654,-0.693050359,-0.623226348,-0.959346412,0.40225719,0.301616011,-0.342445468,-0.634162894,-0.469750556,-0.453050044,-0.712826601,-0.295598783,-0.4101671,-0.317417712,-0.666551772,-0.032050531,0.445195673,-0.417300735,-0.463027322,-0.489730379,1.576837518,-0.507768369,1.01869665,-0.646094653,-0.483055133,0.439660747,-0.467508997,-0.477096933,-0.687948029,-0.710359059,-0.362022288,-0.715409689,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,-0.638905675,-0.321350786,-0.381955431,1.47498481,0.333568261,-0.413619437,-0.247638175,-0.863068956,-0.237054453,-0.425979205,1.731811178,-0.348616713,-0.373844198,-0.557833233,-0.521806374,-0.899751566,-0.229415734,-0.492570446,5.290770944,-0.465376537,1.553233365,-0.677213746,1.065429131,-0.758333339,-0.857320118,-0.315269307,-1.277154823,1.452451412,1.722547853,-0.522600383
-0.929619169,-0.694069109,-0.204124145,-1.061043943,-0.790254971,-0.727838725,1.576357049,-0.550606819,2.626231149,-1.352437031,-0.921111119,-0.813277412,-0.334907429,-0.586556204,0.644931517,-0.693050359,-0.623226348,-0.959346412,1.757228779,-1.053010285,4.422013211,-0.634162894,-0.469750556,-0.453050044,-0.712826601,-0.295598783,-0.4101671,-0.317417712,-0.666551772,1.487382069,0.445195673,-0.417300735,-0.463027322,-0.489730379,1.576837518,-0.507768369,-0.762630826,-0.646094653,-0.483055133,0.439660747,-0.467508997,-0.477096933,-0.687948029,-0.710359059,-0.362022288,-0.715409689,-0.513710066,-0.384023455,-0.248044471,-0.382450855,-0.198585562,-0.665202058,-0.638905675,-0.321350786,3.796702273,-0.514457294,0.333568261,-0.413619437,-0.247638175,-0.863068956,-0.237054453,-0.425979205,-0.45645961,-0.348616713,-0.373844198,-0.557833233,-0.521806374,0.771775291,-0.229415734,-0.492570446,-0.376330988,-0.465376537,1.553233365,-0.677213746,1.065429131,-0.758333339,0.892870872,-0.315269307,0.343021761,-0.546621499,-0.451871527,-0.522600383
